Crop,Soil_Type,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,3.147
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,3.642
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,3.614
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.7
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,6.0
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,1.734
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,6.628
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,1.371
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,6.084
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,5.77
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,26.455
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,4.929
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.857
maize,Loamy,2911.4,22.39,65.09,6.25,77.8,48.4,19.8,4.745
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,5.776
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.956
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,7.886
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.782
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.771
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,8.962
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.962
maize,Loamy,2911.4,22.39,65.09,6.25,77.8,48.4,19.8,1.112
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,12.128
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.955
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,7.14
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.927
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,7.554
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.726
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,9.087
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.979
