State,District,Season,Crop,Soil_Type,Area,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,102.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.147
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,176.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,3.642
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,83.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,3.614
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,189.2,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.7
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,213.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,6.0
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,52.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.734
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,266.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,6.628
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,52.9,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,1.371
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,66.4,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,6.084
Andaman and Nicobar Islands,NICOBARS,Kharif,rice,Loamy,2.1,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,5.77
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,22.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,26.455
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,198.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,4.929
Andaman and Nicobar Islands,NICOBARS,Autumn,rice,Loamy,3.5,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.857
Andaman and Nicobar Islands,NICOBARS,Rabi,maize,Loamy,3.8,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,4.745
Andaman and Nicobar Islands,NICOBARS,Whole year,banana,Loamy,593.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,5.776
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,rice,Loamy,10779.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.956
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole year,banana,Loamy,1531.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,7.886
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,rice,Loamy,9718.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.782
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,rice,Loamy,6854.3,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.771
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole year,banana,Loamy,957.6,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,8.962
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,rice,Loamy,6791.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.962
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,maize,Loamy,86.7,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,1.112
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole year,banana,Loamy,657.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,12.128
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,rice,Loamy,10695.8,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.955
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,1524.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,7.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,rice,Loamy,10509.4,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.927
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,1530.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,7.554
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,rice,Loamy,10682.0,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.726
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,1912.1,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,9.087
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,rice,Loamy,8683.4,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.979
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,1656.8,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,6.187
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,rice,Loamy,921.9,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.755
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,483.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,8.592
Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,rice,Loamy,1595.5,1150.0,23.69,82.27,6.43,79.9,47.6,39.9,2.374
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,maize,Loamy,73.0,1150.0,22.39,65.09,6.25,77.8,48.4,19.8,3.466
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole year,banana,Loamy,360.0,1150.0,27.38,80.36,5.98,100.2,82.0,50.0,15.325
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,2800.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,1.75
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,35600.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.118
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,600.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,4.0
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,18000.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.072
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,3300.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.03
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,38300.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.527
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,300.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,5.333
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,26600.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.402
